219-2,281,831,00:0c:e6:81:08:44,-82,00:0c:e6:81:09:04,-58,00:0c:e6:81:05:04,-80,00:0c:e6:80:fb:04,-86,00:0c:e6:81:90:44,-83,00:0c:e6:e0:fa:02,-87,00:0c:e6:81:06:04,-76,00:0c:e6:e0:f8:42,-86,00:0c:e6:81:90:04,-64,00:0c:e6:80:fe:04,-81,00:0c:e6:81:08:04,-59,00:0c:e6:80:fd:04,-83,00:0c:e6:81:09:44,-73,,,,,,,,,,
219-3,405,830,00:0c:e6:81:08:44,-89,00:0c:e6:81:06:04,-84,00:0c:e6:80:fe:04,-83,00:0c:e6:81:90:04,-72,00:0c:e6:81:05:04,-87,00:0c:e6:81:08:04,-70,00:0c:e6:81:09:04,-67,00:0c:e6:81:09:44,-84,00:0c:e6:81:90:44,-87,,,,,,,,,,,,,,,,,,
219-4,161,944,00:0c:e6:81:08:44,-87,00:0c:e6:81:06:04,-82,00:0c:e6:80:fe:04,-83,00:0c:e6:81:90:04,-67,00:0c:e6:81:05:04,-80,00:0c:e6:81:08:04,-63,00:0c:e6:81:09:04,-64,00:0c:e6:80:fd:04,-86,00:0c:e6:81:09:44,-82,00:0c:e6:81:90:44,-86,,,,,,,,,,,,,,,,
219-5,277,938,00:0c:e6:81:08:44,-79,00:0c:e6:81:06:04,-84,00:0c:e6:80:fe:04,-86,00:0c:e6:81:90:04,-69,00:0c:e6:81:05:04,-83,00:0c:e6:81:08:04,-58,00:0c:e6:81:09:04,-63,00:0c:e6:80:fd:04,-88,00:0c:e6:81:09:44,-74,00:0c:e6:81:90:44,-78,,,,,,,,,,,,,,,,
219-6,402,949,00:0c:e6:81:08:44,-81,00:0c:e6:81:06:04,-83,00:0c:e6:80:fe:04,-86,00:0c:e6:81:90:04,-67,00:0c:e6:81:05:04,-81,00:0c:e6:81:08:04,-57,00:0c:e6:81:09:04,-67,00:0c:e6:81:09:44,-85,00:0c:e6:81:90:44,-77,,,,,,,,,,,,,,,,,,
219-7,161,1066,00:0c:e6:81:08:44,-84,00:0c:e6:81:90:04,-68,00:0c:e6:81:05:04,-85,00:0c:e6:81:08:04,-65,00:0c:e6:81:09:04,-70,00:0c:e6:81:09:44,-90,00:0c:e6:81:90:44,-85,,,,,,,,,,,,,,,,,,,,,,
219-8,282,1065,00:0c:e6:81:08:44,-81,00:0c:e6:81:07:04,-85,00:0c:e6:81:06:04,-82,00:0c:e6:80:fe:04,-83,00:0c:e6:81:90:04,-61,00:0c:e6:81:05:04,-79,00:0c:e6:81:08:04,-57,00:0c:e6:81:09:04,-63,00:0c:e6:80:fd:04,-86,00:0c:e6:81:09:44,-85,00:0c:e6:81:90:44,-78,,,,,,,,,,,,,,
219-9,399,1069,00:0c:e6:81:08:44,-74,00:0c:e6:81:07:04,-85,00:0c:e6:81:06:04,-82,00:0c:e6:80:fe:04,-84,00:0c:e6:81:90:04,-66,00:0c:e6:81:05:04,-75,00:0c:e6:81:08:04,-55,00:0c:e6:81:09:04,-63,00:0c:e6:80:fd:04,-86,00:0c:e6:81:09:44,-86,00:0c:e6:81:90:44,-78,,,,,,,,,,,,,,
hallway-1,578,1272,00:0c:e6:81:08:44,-55,00:0c:e6:81:06:44,-91,00:0c:e6:81:04:04,-84,00:0c:e6:81:07:44,-91,00:0c:e6:81:0a:04,-85,00:0c:e6:81:05:04,-58,00:0c:e6:81:09:04,-57,00:0c:e6:81:90:44,-86,00:0c:e6:81:07:04,-80,00:0c:e6:81:05:44,-77,00:0c:e6:81:06:04,-76,00:0c:e6:80:fd:44,-86,00:0c:e6:81:90:04,-74,00:0c:e6:80:fe:04,-83,00:0c:e6:81:08:04,-47,00:0c:e6:80:fe:44,-89,00:0c:e6:80:fd:04,-82,00:0c:e6:81:09:44,-68
hallway-2,433,1272,00:0c:e6:81:08:44,-63,00:0c:e6:81:04:04,-85,00:0c:e6:81:07:44,-92,00:0c:e6:81:0a:04,-86,00:0c:e6:81:05:04,-64,00:0c:e6:81:09:04,-55,00:0c:e6:81:90:44,-86,00:0c:e6:81:07:04,-81,00:0c:e6:81:06:04,-79,00:0c:e6:81:05:44,-80,00:0c:e6:80:fd:44,-85,00:0c:e6:81:90:04,-72,00:0c:e6:80:fe:04,-81,00:0c:e6:81:08:04,-44,00:0c:e6:80:fd:04,-83,00:0c:e6:81:09:44,-69,,,,
